id_indicador;id_estado;id_curso;qt_ing_fem;qt_ing_masc;qt_mat_fem;qt_mat_masc;qt_conc_fem;qt_conc_masc
575;25;1;0;1;0;1;0;0
576;25;5;1;6;1;7;0;3
577;25;9;1;4;0;7;0;0
578;25;33;0;0;0;1;0;0
579;25;13;0;5;0;7;0;0
580;25;1;0;1;0;3;0;0
581;25;20;0;2;0;3;0;1
582;25;7;0;1;0;6;0;3
583;25;30;1;0;1;1;0;0
584;25;5;0;2;0;3;0;1
585;25;24;1;1;2;3;1;0
586;25;13;0;0;0;1;0;0
587;25;1;0;0;0;1;0;1
588;25;7;0;1;0;2;0;0
589;25;5;3;10;2;12;0;2
590;25;9;0;6;0;3;0;0
591;25;13;4;12;5;10;0;0
592;25;1;4;4;2;1;0;0
593;25;20;0;0;0;1;0;0
594;25;7;0;0;0;1;0;0
595;25;5;1;2;1;1;0;0
596;25;24;0;0;0;1;0;0
597;25;5;5;17;6;22;1;1
598;25;13;2;13;2;14;0;1
599;25;1;5;9;3;9;1;0
600;25;30;1;0;0;1;0;0
601;25;5;0;2;0;1;0;0
602;25;35;0;0;0;1;0;0
603;25;5;3;4;3;11;0;2
604;25;13;1;1;1;1;0;0
605;25;1;0;2;2;2;0;0
606;25;11;0;0;0;1;0;0
607;25;7;0;0;0;2;0;0
608;25;5;0;1;0;1;0;0
609;25;8;0;0;1;2;0;1
610;25;13;0;0;1;1;0;0
611;25;1;0;0;0;1;0;0
612;25;20;0;1;0;1;0;0
613;25;5;1;3;0;2;0;0
614;25;7;3;14;3;6;0;0
615;25;7;0;0;0;1;0;0
616;25;35;0;1;0;1;0;0
617;25;13;0;1;0;1;0;0
618;25;30;0;0;0;1;0;0
619;25;5;0;0;1;1;1;1
620;25;8;0;0;0;1;0;0
621;25;1;0;2;0;3;0;0
622;25;5;3;4;2;2;0;2
623;25;2;0;1;0;1;0;0
624;25;13;0;3;0;4;0;0
625;25;1;1;0;1;0;0;0
626;25;1;0;0;0;1;0;0
627;25;7;0;1;0;1;0;0
628;25;5;1;1;0;2;0;0
629;25;9;0;0;0;1;0;0
630;25;5;1;2;2;5;1;1
631;25;13;3;4;4;8;0;1
632;25;24;8;49;15;121;2;7
633;25;7;9;20;11;48;1;5
634;25;5;0;0;1;1;1;1
635;25;5;1;3;3;3;2;0
636;25;2;0;1;0;2;0;0
637;25;24;0;0;0;2;0;1
638;25;8;0;1;0;1;0;0
639;25;1;3;3;2;4;0;0
640;25;5;1;6;1;4;0;1
641;25;13;3;3;1;5;0;0
642;25;1;0;1;0;2;0;0
643;25;5;0;4;3;5;0;1
644;25;8;0;1;0;1;0;0
645;25;13;1;1;1;1;0;0
646;25;1;0;0;2;0;0;0
647;25;7;0;2;1;3;0;0
648;25;5;4;11;2;9;1;0
649;25;24;2;5;2;7;0;0
650;25;13;3;8;4;16;0;1
651;25;1;0;3;0;7;0;3
652;25;20;0;2;0;1;0;1
653;25;7;0;3;1;5;0;1
654;25;30;0;1;0;1;0;0
655;25;35;0;0;1;0;0;0
656;25;5;1;11;1;12;0;0
657;25;13;2;5;3;7;0;0
658;25;1;2;3;2;3;0;0
659;25;11;0;0;0;1;0;1
660;25;7;0;1;0;2;0;0
661;25;5;1;2;2;6;0;0
662;25;2;0;1;0;1;0;0
663;25;24;2;1;1;1;0;0
664;25;8;0;2;0;2;0;0
665;25;13;1;3;1;5;0;0
666;25;7;0;1;0;1;0;0
667;25;5;0;1;0;2;0;1
668;25;13;0;1;1;0;0;0
669;25;20;0;1;0;1;0;0
670;25;7;0;0;1;7;1;5
671;25;30;6;13;6;13;0;0
672;25;13;2;30;2;23;0;0
673;25;7;3;37;39;167;2;6
674;25;5;1;1;0;1;0;0
675;25;9;1;1;1;1;0;0
676;25;13;1;0;1;0;0;0
677;25;20;0;1;0;1;0;0
678;25;5;1;1;0;2;0;0
679;25;10;1;0;1;0;0;0
680;25;13;2;7;2;6;0;1
681;25;7;0;2;0;2;0;0
682;25;30;0;0;0;1;0;1
683;25;5;0;1;1;4;0;1
684;25;24;0;0;0;1;0;0
685;25;1;0;0;1;1;0;0
686;25;11;1;0;1;1;0;0
687;25;5;0;4;0;4;0;1
688;25;13;0;0;0;2;0;0
689;25;5;1;0;1;0;0;0
690;25;5;0;0;0;1;0;0
691;25;5;1;0;1;0;0;0
692;25;8;0;0;0;1;0;0
693;25;13;0;1;0;1;0;0
694;25;5;0;1;0;1;0;0
695;25;9;0;1;0;1;0;0
696;25;8;0;1;0;1;0;0
697;25;13;0;2;0;1;0;0
698;25;11;0;1;0;1;0;0
699;25;5;4;16;9;25;3;4
700;25;2;0;0;0;1;0;1
701;25;9;1;2;1;5;0;0
702;25;13;1;3;1;3;0;0
703;25;1;3;11;2;11;0;2
704;25;20;0;0;0;1;0;0
705;25;7;0;1;0;2;0;1
706;25;30;1;0;1;1;0;1
707;25;5;1;2;1;5;0;1
708;25;24;0;1;0;3;0;0
709;25;8;0;0;0;1;0;0
710;25;1;0;1;2;3;1;1
711;25;20;1;2;1;3;0;0
712;25;11;0;1;0;2;0;0
713;25;7;0;1;0;2;0;0
714;25;5;3;12;3;18;0;4
715;25;10;0;1;0;1;0;0
716;25;13;0;1;0;2;0;0
717;25;1;0;3;1;3;0;1
718;25;20;0;1;0;2;0;0
719;25;11;0;1;0;1;0;0
720;25;5;0;0;0;1;0;1
721;25;1;0;0;0;1;0;0
722;25;5;2;8;1;11;0;2
723;25;13;0;3;0;3;0;1
724;25;1;1;6;0;4;0;1
725;25;20;0;1;0;1;0;0
726;25;30;0;0;0;2;0;2
727;25;5;1;2;1;6;0;0
728;25;24;1;0;1;4;0;0
729;25;13;0;1;0;1;0;0
730;25;1;0;0;0;1;0;1
731;25;20;1;0;1;0;0;0
732;25;11;0;1;1;1;1;0
733;25;5;0;1;0;1;0;0
734;25;5;2;2;2;3;0;0
735;25;13;0;1;0;1;0;0
736;25;1;1;2;1;4;0;0
737;25;13;0;0;1;1;0;0
738;25;7;0;2;1;3;0;0
739;25;30;0;0;0;2;0;0
740;25;24;0;0;0;1;0;0
741;25;5;0;1;0;1;0;0
742;25;5;0;1;0;1;0;0
743;25;1;0;1;0;1;0;0
744;25;5;0;2;0;2;0;0
745;25;24;1;1;1;1;0;0
746;25;13;1;1;1;0;0;0
747;25;7;0;1;0;1;0;0
748;25;5;0;0;0;2;0;0
749;25;1;0;0;0;1;0;0
750;25;5;2;5;2;3;1;0
751;25;13;0;1;0;1;0;0
752;25;1;0;2;0;4;0;1
753;25;5;1;2;1;3;0;0
754;25;1;0;2;0;5;0;1
755;25;7;0;1;1;2;0;0
756;25;5;0;1;1;3;0;1
757;25;24;0;1;0;1;0;0
758;25;7;0;0;0;1;0;0
